id,x,y,community,user_type,activity
U110,13.5,2.598,Civic Futures,Receiver,45
U111,14.5,2.598,Civic Futures,Retweeter,62
U112,15.5,2.598,Civic Futures,Retweeter,79
U113,16.5,2.598,Civic Futures,Retweeter,96
U114,17.5,2.598,Open Technology,Receiver,30
U115,18.5,2.598,Open Technology,Receiver,47
U116,19.5,2.598,Open Technology,Retweeter,64
U117,20.5,2.598,Open Technology,Retweeter,81
U118,21.5,2.598,Open Technology,Retweeter,98
U119,22.5,2.598,Open Technology,Receiver,32
U120,23.5,2.598,Open Technology,Receiver,49
U121,24.5,2.598,Open Technology,Retweeter,66
U122,25.5,2.598,Open Technology,Retweeter,83
U123,26.5,2.598,Open Technology,Retweeter,100
U124,27.5,2.598,Open Technology,Receiver,34
U125,28.5,2.598,Open Technology,Receiver,51
U126,29.5,2.598,Open Technology,Retweeter,68
U127,30.5,2.598,Open Technology,Retweeter,85
U128,31.5,2.598,Open Technology,Retweeter,19
U129,0.0,3.464,Civic Futures,Receiver,36
U130,1.0,3.464,Civic Futures,Receiver,53
U131,2.0,3.464,Civic Futures,Retweeter,70
U132,3.0,3.464,Civic Futures,Retweeter,87
U133,4.0,3.464,Civic Futures,Retweeter,21
U134,5.0,3.464,Civic Futures,Receiver,38
U135,6.0,3.464,Civic Futures,Receiver,55
U136,7.0,3.464,Civic Futures,Retweeter,72
U137,8.0,3.464,Civic Futures,Retweeter,89
U138,9.0,3.464,Civic Futures,Retweeter,23
U139,10.0,3.464,Civic Futures,Receiver,40
U140,11.0,3.464,Civic Futures,Receiver,57
U141,12.0,3.464,Civic Futures,Retweeter,74
U142,13.0,3.464,Civic Futures,Retweeter,91
U143,14.0,3.464,Civic Futures,Retweeter,25
U144,15.0,3.464,Civic Futures,Receiver,42
U145,16.0,3.464,Civic Futures,Receiver,59
U146,17.0,3.464,Open Technology,Retweeter,76
U147,18.0,3.464,Open Technology,Retweeter,93
U148,19.0,3.464,Open Technology,Retweeter,27
U149,20.0,3.464,Open Technology,Receiver,44
U150,21.0,3.464,Open Technology,Receiver,61
U151,22.0,3.464,Open Technology,Retweeter,78
U152,23.0,3.464,Open Technology,Retweeter,95
U153,24.0,3.464,Open Technology,Retweeter,29
U154,25.0,3.464,Open Technology,Receiver,46
U155,26.0,3.464,Open Technology,Receiver,63
U156,27.0,3.464,Open Technology,Retweeter,80
U157,28.0,3.464,Open Technology,Retweeter,97
U158,29.0,3.464,Open Technology,Retweeter,31
U159,30.0,3.464,Open Technology,Receiver,48
U160,31.0,3.464,Open Technology,Receiver,65
U161,0.5,4.330,Civic Futures,Retweeter,82
U162,1.5,4.330,Civic Futures,Retweeter,99
U163,2.5,4.330,Civic Futures,Retweeter,33
U164,3.5,4.330,Civic Futures,Receiver,50
U165,4.5,4.330,Civic Futures,Receiver,67
U166,5.5,4.330,Civic Futures,Retweeter,84
U167,6.5,4.330,Civic Futures,Opinion leader,18
U168,7.5,4.330,Civic Futures,Retweeter,35
U169,8.5,4.330,Civic Futures,Receiver,52
U170,9.5,4.330,Civic Futures,Receiver,69
U171,10.5,4.330,Civic Futures,Retweeter,86
U172,11.5,4.330,Civic Futures,Retweeter,20
U173,12.5,4.330,Civic Futures,Retweeter,37
U174,13.5,4.330,Civic Futures,Receiver,54
U175,14.5,4.330,Civic Futures,Receiver,71
U176,15.5,4.330,Open Technology,Retweeter,88
U177,16.5,4.330,Open Technology,Retweeter,22
U178,17.5,4.330,Open Technology,Retweeter,39
U179,18.5,4.330,Open Technology,Receiver,56
U180,19.5,4.330,Open Technology,Receiver,73
U181,20.5,4.330,Open Technology,Retweeter,90
U182,21.5,4.330,Open Technology,Retweeter,24
U183,22.5,4.330,Open Technology,Retweeter,41
U184,23.5,4.330,Open Technology,Receiver,58
U185,24.5,4.330,Open Technology,Receiver,75
U186,25.5,4.330,Open Technology,Retweeter,92
U187,26.5,4.330,Open Technology,Retweeter,26
U188,27.5,4.330,Open Technology,Retweeter,43
U189,28.5,4.330,Open Technology,Receiver,60
U190,29.5,4.330,Open Technology,Receiver,77
U191,30.5,4.330,Open Technology,Retweeter,94
U192,31.5,4.330,Open Technology,Retweeter,28
U193,0.0,5.196,Civic Futures,Retweeter,45
U194,1.0,5.196,Civic Futures,Receiver,62
U195,2.0,5.196,Civic Futures,Receiver,79
U196,3.0,5.196,Civic Futures,Retweeter,96
U197,4.0,5.196,Civic Futures,Retweeter,30
U198,5.0,5.196,Civic Futures,Retweeter,47
U199,6.0,5.196,Civic Futures,Receiver,64
U200,7.0,5.196,Civic Futures,Receiver,81
U201,8.0,5.196,Civic Futures,Retweeter,98
U202,9.0,5.196,Civic Futures,Retweeter,32
U203,10.0,5.196,Civic Futures,Retweeter,49
U204,11.0,5.196,Civic Futures,Receiver,66
U205,12.0,5.196,Civic Futures,Receiver,83
U206,13.0,5.196,Civic Futures,Retweeter,100
U207,14.0,5.196,Civic Futures,Retweeter,34
U208,15.0,5.196,Open Technology,Retweeter,51
U209,16.0,5.196,Open Technology,Receiver,68
U210,17.0,5.196,Open Technology,Receiver,85
U211,18.0,5.196,Open Technology,Retweeter,19
U212,19.0,5.196,Open Technology,Retweeter,36
U213,20.0,5.196,Open Technology,Retweeter,53
U214,21.0,5.196,Open Technology,Receiver,70
U215,22.0,5.196,Open Technology,Receiver,87
U216,23.0,5.196,Open Technology,Retweeter,21
U217,24.0,5.196,Open Technology,Retweeter,38
U218,25.0,5.196,Open Technology,Retweeter,55
U219,26.0,5.196,Open Technology,Receiver,72
U220,27.0,5.196,Open Technology,Receiver,89
U221,28.0,5.196,Open Technology,Retweeter,23
U222,29.0,5.196,Open Technology,Retweeter,40
U223,30.0,5.196,Open Technology,Retweeter,57
U224,31.0,5.196,Open Technology,Receiver,74
U225,0.5,6.062,Civic Futures,Receiver,91
U226,1.5,6.062,Civic Futures,Retweeter,25
U227,2.5,6.062,Civic Futures,Retweeter,42
U228,3.5,6.062,Civic Futures,Retweeter,59
U229,4.5,6.062,Civic Futures,Opinion leader,76
U230,5.5,6.062,Civic Futures,Receiver,93
U231,6.5,6.062,Civic Futures,Retweeter,27
U232,7.5,6.062,Civic Futures,Retweeter,44
U233,8.5,6.062,Civic Futures,Retweeter,61
U234,9.5,6.062,Civic Futures,Receiver,78
U235,10.5,6.062,Civic Futures,Receiver,95
U236,11.5,6.062,Civic Futures,Retweeter,29
U237,12.5,6.062,Civic Futures,Retweeter,46
U238,13.5,6.062,Civic Futures,Opinion leader,63
U239,14.5,6.062,Open Technology,Receiver,80
U240,15.5,6.062,Open Technology,Receiver,97
U241,16.5,6.062,Open Technology,Retweeter,31
U242,17.5,6.062,Open Technology,Retweeter,48
U243,18.5,6.062,Open Technology,Retweeter,65
U244,19.5,6.062,Open Technology,Receiver,82
U245,20.5,6.062,Open Technology,Receiver,99
U246,21.5,6.062,Open Technology,Retweeter,33
U247,22.5,6.062,Open Technology,Opinion leader,50
U248,23.5,6.062,Open Technology,Retweeter,67
U249,24.5,6.062,Open Technology,Receiver,84
U250,25.5,6.062,Open Technology,Opinion leader,18
U251,26.5,6.062,Open Technology,Retweeter,35
U252,27.5,6.062,Open Technology,Retweeter,52
U253,28.5,6.062,Open Technology,Retweeter,69
U254,29.5,6.062,Open Technology,Receiver,86
U255,30.5,6.062,Open Technology,Receiver,20
U256,31.5,6.062,Open Technology,Opinion leader,37
U257,0.0,6.928,Local Voices,Retweeter,54
U258,1.0,6.928,Civic Futures,Retweeter,71
U259,2.0,6.928,Civic Futures,Receiver,88
U260,3.0,6.928,Civic Futures,Receiver,22
U261,4.0,6.928,Civic Futures,Retweeter,39
U262,5.0,6.928,Civic Futures,Retweeter,56
U263,6.0,6.928,Civic Futures,Retweeter,73
U264,7.0,6.928,Civic Futures,Receiver,90
U265,8.0,6.928,Civic Futures,Receiver,24
U266,9.0,6.928,Local Voices,Retweeter,41
U267,10.0,6.928,Local Voices,Retweeter,58
U268,11.0,6.928,Local Voices,Retweeter,75
U269,12.0,6.928,Local Voices,Receiver,92
U270,13.0,6.928,Local Voices,Receiver,26
U271,14.0,6.928,Local Voices,Retweeter,43
U272,15.0,6.928,Media Watch,Retweeter,60
U273,16.0,6.928,Media Watch,Retweeter,77
U274,17.0,6.928,Media Watch,Receiver,94
U275,18.0,6.928,Open Technology,Receiver,28
U276,19.0,6.928,Open Technology,Retweeter,45
U277,20.0,6.928,Open Technology,Retweeter,62
U278,21.0,6.928,Open Technology,Retweeter,79
U279,22.0,6.928,Open Technology,Receiver,96
U280,23.0,6.928,Open Technology,Receiver,30
U281,24.0,6.928,Open Technology,Retweeter,47
U282,25.0,6.928,Open Technology,Retweeter,64
U283,26.0,6.928,Open Technology,Retweeter,81
U284,27.0,6.928,Media Watch,Receiver,98
U285,28.0,6.928,Media Watch,Receiver,32
U286,29.0,6.928,Media Watch,Retweeter,49
U287,30.0,6.928,Media Watch,Retweeter,66
U288,31.0,6.928,Media Watch,Retweeter,83
U289,0.5,7.794,Local Voices,Receiver,100
U290,1.5,7.794,Local Voices,Receiver,34
U291,2.5,7.794,Local Voices,Retweeter,51
U292,3.5,7.794,Local Voices,Retweeter,68
U293,4.5,7.794,Local Voices,Retweeter,85
U294,5.5,7.794,Local Voices,Receiver,19
U295,6.5,7.794,Local Voices,Receiver,36
U296,7.5,7.794,Local Voices,Retweeter,53
U297,8.5,7.794,Local Voices,Retweeter,70
U298,9.5,7.794,Local Voices,Retweeter,87
U299,10.5,7.794,Local Voices,Receiver,21
U300,11.5,7.794,Local Voices,Receiver,38
U301,12.5,7.794,Local Voices,Retweeter,55
U302,13.5,7.794,Local Voices,Retweeter,72
U303,14.5,7.794,Local Voices,Retweeter,89
U304,15.5,7.794,Local Voices,Receiver,23
U305,16.5,7.794,Media Watch,Receiver,40
U306,17.5,7.794,Media Watch,Retweeter,57
U307,18.5,7.794,Media Watch,Retweeter,74
U308,19.5,7.794,Media Watch,Retweeter,91
U309,20.5,7.794,Media Watch,Receiver,25
U310,21.5,7.794,Media Watch,Receiver,42
U311,22.5,7.794,Media Watch,Retweeter,59
U312,23.5,7.794,Media Watch,Retweeter,76
U313,24.5,7.794,Media Watch,Retweeter,93
U314,25.5,7.794,Media Watch,Receiver,27
U315,26.5,7.794,Media Watch,Receiver,44
U316,27.5,7.794,Media Watch,Retweeter,61
U317,28.5,7.794,Media Watch,Retweeter,78
U318,29.5,7.794,Media Watch,Retweeter,95
U319,30.5,7.794,Media Watch,Receiver,29
U320,31.5,7.794,Media Watch,Receiver,46
U321,0.0,8.660,Local Voices,Retweeter,63
U322,1.0,8.660,Local Voices,Retweeter,80
U323,2.0,8.660,Local Voices,Retweeter,97
U324,3.0,8.660,Local Voices,Receiver,31
U325,4.0,8.660,Local Voices,Receiver,48
U326,5.0,8.660,Local Voices,Retweeter,65
U327,6.0,8.660,Local Voices,Retweeter,82
U328,7.0,8.660,Local Voices,Retweeter,99
U329,8.0,8.660,Local Voices,Receiver,33
U330,9.0,8.660,Local Voices,Receiver,50
U331,10.0,8.660,Local Voices,Retweeter,67
U332,11.0,8.660,Local Voices,Retweeter,84
U333,12.0,8.660,Local Voices,Opinion leader,18
U334,13.0,8.660,Local Voices,Receiver,35
U335,14.0,8.660,Local Voices,Receiver,52
U336,15.0,8.660,Local Voices,Retweeter,69
U337,16.0,8.660,Local Voices,Retweeter,86
U338,17.0,8.660,Media Watch,Retweeter,20
U339,18.0,8.660,Media Watch,Receiver,37
U340,19.0,8.660,Media Watch,Receiver,54
U341,20.0,8.660,Media Watch,Retweeter,71
U342,21.0,8.660,Media Watch,Retweeter,88
U343,22.0,8.660,Media Watch,Retweeter,22
U344,23.0,8.660,Media Watch,Receiver,39
U345,24.0,8.660,Media Watch,Receiver,56
U346,25.0,8.660,Media Watch,Retweeter,73
U347,26.0,8.660,Media Watch,Retweeter,90
U348,27.0,8.660,Media Watch,Retweeter,24
U349,28.0,8.660,Media Watch,Receiver,41
U350,29.0,8.660,Media Watch,Receiver,58
U351,30.0,8.660,Media Watch,Retweeter,75
U352,31.0,8.660,Media Watch,Retweeter,92
U353,0.5,9.526,Local Voices,Retweeter,26
U354,1.5,9.526,Local Voices,Receiver,43
U355,2.5,9.526,Local Voices,Receiver,60
U356,3.5,9.526,Local Voices,Retweeter,77
U357,4.5,9.526,Local Voices,Retweeter,94
U358,5.5,9.526,Local Voices,Retweeter,28
U359,6.5,9.526,Local Voices,Receiver,45
U360,7.5,9.526,Local Voices,Receiver,62
U361,8.5,9.526,Local Voices,Retweeter,79
U362,9.5,9.526,Local Voices,Retweeter,96
U363,10.5,9.526,Local Voices,Retweeter,30
U364,11.5,9.526,Local Voices,Receiver,47
U365,12.5,9.526,Local Voices,Receiver,64
U366,13.5,9.526,Local Voices,Retweeter,81
U367,14.5,9.526,Local Voices,Retweeter,98
U368,15.5,9.526,Local Voices,Retweeter,32
U369,16.5,9.526,Local Voices,Receiver,49
U370,17.5,9.526,Media Watch,Receiver,66
U371,18.5,9.526,Media Watch,Retweeter,83
U372,19.5,9.526,Media Watch,Retweeter,100
U373,20.5,9.526,Media Watch,Retweeter,34
U374,21.5,9.526,Media Watch,Receiver,51
U375,22.5,9.526,Media Watch,Receiver,68
U376,23.5,9.526,Media Watch,Retweeter,85
U377,24.5,9.526,Media Watch,Retweeter,19
U378,25.5,9.526,Media Watch,Retweeter,36
U379,26.5,9.526,Media Watch,Receiver,53
U380,27.5,9.526,Media Watch,Receiver,70
U381,28.5,9.526,Media Watch,Retweeter,87
U382,29.5,9.526,Media Watch,Retweeter,21
U383,30.5,9.526,Media Watch,Retweeter,38
U384,31.5,9.526,Media Watch,Receiver,55
U385,0.0,10.392,Local Voices,Receiver,72
U386,1.0,10.392,Local Voices,Retweeter,89
U387,2.0,10.392,Local Voices,Retweeter,23
U388,3.0,10.392,Local Voices,Retweeter,40
U389,4.0,10.392,Local Voices,Opinion leader,57
U390,5.0,10.392,Local Voices,Receiver,74
U391,6.0,10.392,Local Voices,Retweeter,91
U392,7.0,10.392,Local Voices,Retweeter,25
U393,8.0,10.392,Local Voices,Retweeter,42
U394,9.0,10.392,Local Voices,Receiver,59
U395,10.0,10.392,Local Voices,Receiver,76
U396,11.0,10.392,Local Voices,Retweeter,93
U397,12.0,10.392,Local Voices,Retweeter,27
U398,13.0,10.392,Local Voices,Opinion leader,44
U399,14.0,10.392,Local Voices,Receiver,61
U400,15.0,10.392,Local Voices,Receiver,78
U401,16.0,10.392,Local Voices,Retweeter,95
U402,17.0,10.392,Media Watch,Retweeter,29
U403,18.0,10.392,Media Watch,Retweeter,46
U404,19.0,10.392,Media Watch,Receiver,63
U405,20.0,10.392,Media Watch,Receiver,80
U406,21.0,10.392,Media Watch,Retweeter,97
U407,22.0,10.392,Media Watch,Opinion leader,31
U408,23.0,10.392,Media Watch,Retweeter,48
U409,24.0,10.392,Media Watch,Receiver,65
U410,25.0,10.392,Media Watch,Receiver,82
U411,26.0,10.392,Media Watch,Retweeter,99
U412,27.0,10.392,Media Watch,Retweeter,33
U413,28.0,10.392,Media Watch,Retweeter,50
U414,29.0,10.392,Media Watch,Receiver,67
U415,30.0,10.392,Media Watch,Receiver,84
U416,31.0,10.392,Media Watch,Opinion leader,18
U417,0.5,11.258,Local Voices,Retweeter,35
U418,1.5,11.258,Local Voices,Retweeter,52
U419,2.5,11.258,Local Voices,Receiver,69
U420,3.5,11.258,Local Voices,Receiver,86
U421,4.5,11.258,Local Voices,Retweeter,20
U422,5.5,11.258,Local Voices,Retweeter,37
U423,6.5,11.258,Local Voices,Retweeter,54
U424,7.5,11.258,Local Voices,Receiver,71
U425,8.5,11.258,Local Voices,Receiver,88
U426,9.5,11.258,Local Voices,Retweeter,22
U427,10.5,11.258,Local Voices,Retweeter,39
U428,11.5,11.258,Local Voices,Retweeter,56
U429,12.5,11.258,Local Voices,Receiver,73
U430,13.5,11.258,Local Voices,Receiver,90
U431,14.5,11.258,Local Voices,Retweeter,24
U432,15.5,11.258,Local Voices,Retweeter,41
U433,16.5,11.258,Media Watch,Retweeter,58
U434,17.5,11.258,Media Watch,Receiver,75
U435,18.5,11.258,Media Watch,Receiver,92
U436,19.5,11.258,Media Watch,Retweeter,26
U437,20.5,11.258,Media Watch,Retweeter,43
U438,21.5,11.258,Media Watch,Retweeter,60
U439,22.5,11.258,Media Watch,Receiver,77
U440,23.5,11.258,Media Watch,Receiver,94
U441,24.5,11.258,Media Watch,Retweeter,28
U442,25.5,11.258,Media Watch,Retweeter,45
U443,26.5,11.258,Media Watch,Retweeter,62
U444,27.5,11.258,Media Watch,Receiver,79
U445,28.5,11.258,Media Watch,Receiver,96
U446,29.5,11.258,Media Watch,Retweeter,30
U447,30.5,11.258,Media Watch,Retweeter,47
U448,31.5,11.258,Media Watch,Retweeter,64
U449,0.0,12.124,Local Voices,Receiver,81
U450,1.0,12.124,Local Voices,Receiver,98
U451,2.0,12.124,Local Voices,Retweeter,32
U452,3.0,12.124,Local Voices,Retweeter,49
U453,4.0,12.124,Local Voices,Retweeter,66
U454,5.0,12.124,Local Voices,Receiver,83
U455,6.0,12.124,Local Voices,Receiver,100
U456,7.0,12.124,Local Voices,Retweeter,34
U457,8.0,12.124,Local Voices,Retweeter,51
U458,9.0,12.124,Local Voices,Retweeter,68
U459,10.0,12.124,Local Voices,Receiver,85
U460,11.0,12.124,Local Voices,Receiver,19
U461,12.0,12.124,Local Voices,Retweeter,36
U462,13.0,12.124,Local Voices,Retweeter,53
U463,14.0,12.124,Local Voices,Retweeter,70
U464,15.0,12.124,Media Watch,Receiver,87
U465,16.0,12.124,Media Watch,Receiver,21
U466,17.0,12.124,Media Watch,Retweeter,38
U467,18.0,12.124,Media Watch,Retweeter,55
U468,19.0,12.124,Media Watch,Retweeter,72
U469,20.0,12.124,Media Watch,Receiver,89
U470,21.0,12.124,Media Watch,Receiver,23
U471,22.0,12.124,Media Watch,Retweeter,40
U472,23.0,12.124,Media Watch,Retweeter,57
U473,24.0,12.124,Media Watch,Retweeter,74
U474,25.0,12.124,Media Watch,Receiver,91
U475,26.0,12.124,Media Watch,Receiver,25
U476,27.0,12.124,Media Watch,Retweeter,42
U477,28.0,12.124,Media Watch,Retweeter,59
U478,29.0,12.124,Media Watch,Retweeter,76
U479,30.0,12.124,Media Watch,Receiver,93
U480,31.0,12.124,Media Watch,Receiver,27
U481,0.5,12.990,Local Voices,Retweeter,44
U482,1.5,12.990,Local Voices,Retweeter,61
U483,2.5,12.990,Local Voices,Retweeter,78
U484,3.5,12.990,Local Voices,Receiver,95
U485,4.5,12.990,Local Voices,Receiver,29
U486,5.5,12.990,Local Voices,Retweeter,46
U487,6.5,12.990,Local Voices,Retweeter,63
U488,7.5,12.990,Local Voices,Retweeter,80
U489,8.5,12.990,Local Voices,Receiver,97
U490,9.5,12.990,Local Voices,Receiver,31
U491,10.5,12.990,Local Voices,Retweeter,48
U492,11.5,12.990,Local Voices,Retweeter,65
U493,12.5,12.990,Local Voices,Retweeter,82
U494,13.5,12.990,Local Voices,Receiver,99
U495,14.5,12.990,Media Watch,Receiver,33
U496,15.5,12.990,Media Watch,Retweeter,50
U497,16.5,12.990,Media Watch,Retweeter,67
U498,17.5,12.990,Media Watch,Retweeter,84
U499,18.5,12.990,Media Watch,Opinion leader,18
U500,19.5,12.990,Media Watch,Receiver,35
U501,20.5,12.990,Media Watch,Retweeter,52
U502,21.5,12.990,Media Watch,Retweeter,69
U503,22.5,12.990,Media Watch,Retweeter,86
U504,23.5,12.990,Media Watch,Receiver,20
U505,24.5,12.990,Media Watch,Receiver,37
U506,25.5,12.990,Media Watch,Retweeter,54
U507,26.5,12.990,Media Watch,Retweeter,71
U508,27.5,12.990,Media Watch,Retweeter,88
U509,28.5,12.990,Media Watch,Receiver,22
U510,29.5,12.990,Media Watch,Receiver,39
U511,30.5,12.990,Media Watch,Retweeter,56
U512,31.5,12.990,Media Watch,Retweeter,73
