source,target,weight,relation_type
U125,U126,8,retweet
U127,U128,1,retweet
U127,U159,8,retweet
U129,U130,3,retweet
U131,U132,5,retweet
U133,U134,7,retweet
U134,U166,7,retweet
U135,U136,9,retweet
U137,U138,2,retweet
U139,U140,4,retweet
U139,U116,10,cross-community
U141,U142,6,retweet
U141,U173,6,retweet
U143,U144,8,retweet
U145,U146,1,retweet
U147,U148,3,retweet
U148,U180,5,retweet
U149,U150,5,retweet
U151,U152,7,retweet
U153,U154,9,retweet
U155,U156,2,retweet
U155,U187,4,retweet
U157,U158,4,retweet
U159,U160,6,retweet
U161,U162,8,retweet
U162,U194,3,retweet
U162,U277,5,cross-community
U163,U164,1,retweet
U165,U166,3,retweet
U167,U168,5,retweet
U169,U170,7,retweet
U169,U201,2,retweet
U171,U172,9,retweet
U173,U174,2,retweet
U175,U176,4,retweet
U176,U208,9,retweet
U177,U178,6,retweet
U179,U180,8,retweet
U181,U182,1,retweet
U183,U184,3,retweet
U183,U215,8,retweet
U185,U186,5,retweet
U185,U438,7,cross-community
U187,U188,7,retweet
U189,U190,9,retweet
U190,U222,7,retweet
U191,U192,2,retweet
U193,U194,4,retweet
U195,U196,6,retweet
U197,U198,8,retweet
U197,U229,6,retweet
U199,U200,1,retweet
U201,U202,3,retweet
U203,U204,5,retweet
U204,U236,5,retweet
U205,U206,7,retweet
U207,U208,9,retweet
U208,U087,9,cross-community
U209,U210,2,retweet
U211,U212,4,retweet
U211,U243,4,retweet
U213,U214,6,retweet
U215,U216,8,retweet
U217,U218,1,retweet
U218,U250,3,retweet
U219,U220,3,retweet
U221,U222,5,retweet
U223,U224,7,retweet
U225,U226,9,retweet
U225,U257,2,retweet
U227,U228,2,retweet
U229,U230,4,retweet
U231,U232,6,retweet
U231,U248,11,cross-community
U232,U264,9,retweet
U233,U234,8,retweet
U235,U236,1,retweet
U237,U238,3,retweet
U239,U240,5,retweet
U239,U271,8,retweet
U241,U242,7,retweet
U243,U244,9,retweet
U245,U246,2,retweet
U246,U278,7,retweet
U247,U248,4,retweet
U249,U250,6,retweet
U251,U252,8,retweet
U253,U254,1,retweet
U253,U285,6,retweet
U254,U409,6,cross-community
U255,U256,3,retweet
U257,U258,5,retweet
U259,U260,7,retweet
U260,U292,5,retweet
U261,U262,9,retweet
U263,U264,2,retweet
U265,U266,4,retweet
U267,U268,6,retweet
U267,U299,4,retweet
U269,U270,8,retweet
U271,U272,1,retweet
U273,U274,3,retweet
U274,U306,3,retweet
U275,U276,5,retweet
U277,U278,7,retweet
U277,U058,8,cross-community
U279,U280,9,retweet
U281,U282,2,retweet
U281,U313,2,retweet
U283,U284,4,retweet
U285,U286,6,retweet
U287,U288,8,retweet
U288,U320,9,retweet
U289,U290,1,retweet
U291,U292,3,retweet
U293,U294,5,retweet
U295,U296,7,retweet
U295,U327,8,retweet
U297,U298,9,retweet
U299,U300,2,retweet
U300,U219,10,cross-community
U301,U302,4,retweet
U302,U334,7,retweet
U303,U304,6,retweet
U305,U306,8,retweet
U307,U308,1,retweet
U309,U310,3,retweet
U309,U341,6,retweet
U311,U312,5,retweet
U313,U314,7,retweet
U315,U316,9,retweet
U316,U348,5,retweet
U317,U318,2,retweet
U319,U320,4,retweet
U321,U322,6,retweet
U323,U324,8,retweet
U323,U355,4,retweet
U323,U380,5,cross-community
U325,U326,1,retweet
U327,U328,3,retweet
U329,U330,5,retweet
U330,U362,3,retweet
U331,U332,7,retweet
U333,U334,9,retweet
U335,U336,2,retweet
U337,U338,4,retweet
U337,U369,2,retweet
U339,U340,6,retweet
U341,U342,8,retweet
U343,U344,1,retweet
U344,U376,9,retweet
U345,U346,3,retweet
U346,U029,7,cross-community
U347,U348,5,retweet
U349,U350,7,retweet
U351,U352,9,retweet
U351,U383,8,retweet
U353,U354,2,retweet
U355,U356,4,retweet
U357,U358,6,retweet
U358,U390,7,retweet
U359,U360,8,retweet
U361,U362,1,retweet
U363,U364,3,retweet
U365,U366,5,retweet
U365,U397,6,retweet
U367,U368,7,retweet
U369,U370,9,retweet
U369,U190,9,cross-community
U371,U372,2,retweet
U372,U404,5,retweet
U373,U374,4,retweet
U375,U376,6,retweet
U377,U378,8,retweet
U379,U380,1,retweet
U379,U411,4,retweet
U381,U382,3,retweet
U383,U384,5,retweet
U385,U386,7,retweet
U386,U418,3,retweet
U387,U388,9,retweet
U389,U390,2,retweet
U391,U392,4,retweet
U392,U351,11,cross-community
U393,U394,6,retweet
U393,U425,2,retweet
U395,U396,8,retweet
U397,U398,1,retweet
U399,U400,3,retweet
U400,U432,9,retweet
U401,U402,5,retweet
U403,U404,7,retweet
U405,U406,9,retweet
U407,U408,2,retweet
U407,U439,8,retweet
U409,U410,4,retweet
U411,U412,6,retweet
U413,U414,8,retweet
U414,U446,7,retweet
U415,U416,1,retweet
U415,U512,6,cross-community
U417,U418,3,retweet
U419,U420,5,retweet
U421,U422,7,retweet
U421,U453,6,retweet
U423,U424,9,retweet
U425,U426,2,retweet
U427,U428,4,retweet
U428,U460,5,retweet
U429,U430,6,retweet
U431,U432,8,retweet
U433,U434,1,retweet
U435,U436,3,retweet
U435,U467,4,retweet
U437,U438,5,retweet
U438,U161,8,cross-community
U439,U440,7,retweet
U441,U442,9,retweet
U442,U474,3,retweet
U443,U444,2,retweet
U445,U446,4,retweet
U447,U448,6,retweet
U449,U450,8,retweet
U449,U481,2,retweet
U451,U452,1,retweet
U453,U454,3,retweet
U455,U456,5,retweet
U456,U488,9,retweet
U457,U458,7,retweet
U459,U460,9,retweet
U461,U462,2,retweet
U461,U322,10,cross-community
U463,U464,4,retweet
U463,U495,8,retweet
U465,U466,6,retweet
U467,U468,8,retweet
U469,U470,1,retweet
U470,U502,7,retweet
U471,U472,3,retweet
U473,U474,5,retweet
U475,U476,7,retweet
U477,U478,9,retweet
U477,U509,6,retweet
U479,U480,2,retweet
U481,U482,4,retweet
U483,U484,6,retweet
U484,U483,5,cross-community
U485,U486,8,retweet
U487,U488,1,retweet
U489,U490,3,retweet
U491,U492,5,retweet
U493,U494,7,retweet
U495,U496,9,retweet
U497,U498,2,retweet
U499,U500,4,retweet
U501,U502,6,retweet
U503,U504,8,retweet
U505,U506,1,retweet
U507,U508,3,retweet
U507,U132,7,cross-community
U509,U510,5,retweet
U511,U512,7,retweet
