cell_id,row_group,column_group,channel_a,channel_b,channel_c,channel_d,channel_e,heat_value
R10-C01,R10,C01,4,4,7,3,3,21
R10-C02,R10,C02,3,5,8,4,4,24
R10-C03,R10,C03,5,7,7,6,6,31
R10-C04,R10,C04,7,9,10,7,6,39
R10-C05,R10,C05,10,10,16,9,10,55
R10-C06,R10,C06,8,12,19,9,12,60
R10-C07,R10,C07,9,12,18,11,9,59
R10-C08,R10,C08,9,11,14,9,9,52
R10-C09,R10,C09,8,10,10,7,8,43
R10-C10,R10,C10,5,6,13,5,6,35
R10-C11,R10,C11,5,6,10,6,6,33
R10-C12,R10,C12,7,8,11,7,8,41
R10-C13,R10,C13,12,14,17,10,10,63
R10-C14,R10,C14,15,24,32,16,19,106
R10-C15,R10,C15,21,25,38,26,27,137
R10-C16,R10,C16,26,29,44,27,24,150
R10-C17,R10,C17,25,28,36,22,24,135
R10-C18,R10,C18,14,22,30,15,20,101
R10-C19,R10,C19,10,15,18,12,10,65
R10-C20,R10,C20,6,7,11,7,7,38
R11-C01,R11,C01,4,5,7,4,5,25
R11-C02,R11,C02,4,6,9,5,4,28
R11-C03,R11,C03,6,6,13,5,6,36
R11-C04,R11,C04,9,9,12,9,9,48
R11-C05,R11,C05,9,12,19,11,10,61
R11-C06,R11,C06,11,15,20,12,13,71
R11-C07,R11,C07,12,17,19,11,14,73
R11-C08,R11,C08,12,12,19,13,11,67
R11-C09,R11,C09,9,12,20,11,11,63
R11-C10,R11,C10,8,10,14,8,10,50
R11-C11,R11,C11,7,10,13,7,7,44
R11-C12,R11,C12,9,11,11,10,9,50
R11-C13,R11,C13,10,13,23,13,15,74
R11-C14,R11,C14,17,21,37,18,18,111
R11-C15,R11,C15,25,30,43,22,26,146
R11-C16,R11,C16,30,35,33,31,31,160
R11-C17,R11,C17,20,33,42,26,23,144
R11-C18,R11,C18,18,21,37,19,20,115
R11-C19,R11,C19,13,14,21,11,15,74
R11-C20,R11,C20,8,9,12,9,7,45
R12-C01,R12,C01,3,4,5,4,4,20
R12-C02,R12,C02,4,5,7,5,5,26
R12-C03,R12,C03,7,8,10,6,6,37
R12-C04,R12,C04,9,14,20,9,11,63
R12-C05,R12,C05,13,19,19,16,16,83
R12-C06,R12,C06,17,18,30,18,16,99
R12-C07,R12,C07,19,20,29,17,19,104
R12-C08,R12,C08,13,20,30,14,19,96
R12-C09,R12,C09,12,17,22,15,12,78
R12-C10,R12,C10,10,13,15,10,10,58
R12-C11,R12,C11,8,8,13,7,9,45
R12-C12,R12,C12,6,9,17,7,7,46
R12-C13,R12,C13,11,15,21,14,13,74
R12-C14,R12,C14,18,23,25,19,21,106
R12-C15,R12,C15,25,31,37,22,22,137
R12-C16,R12,C16,21,27,52,22,27,149
R12-C17,R12,C17,21,26,35,26,26,134
R12-C18,R12,C18,17,20,29,18,16,100
R12-C19,R12,C19,12,14,17,10,11,64
R12-C20,R12,C20,5,8,11,6,7,37
R13-C01,R13,C01,4,5,8,4,4,25
R13-C02,R13,C02,6,7,8,6,6,33
R13-C03,R13,C03,7,11,12,8,9,47
R13-C04,R13,C04,11,12,23,11,11,68
R13-C05,R13,C05,16,18,29,14,17,94
R13-C06,R13,C06,21,23,26,22,23,115
R13-C07,R13,C07,17,27,37,22,20,123
R13-C08,R13,C08,19,28,33,20,22,122
R13-C09,R13,C09,17,18,30,15,19,99
R13-C10,R13,C10,14,14,19,14,12,73
R13-C11,R13,C11,7,11,17,9,9,53
R13-C12,R13,C12,7,10,13,8,9,47
R13-C13,R13,C13,10,13,16,9,9,57
R13-C14,R13,C14,14,14,20,15,14,77
R13-C15,R13,C15,14,19,29,18,19,99
R13-C16,R13,C16,17,22,33,18,17,107
R13-C17,R13,C17,18,23,29,16,19,105
R13-C18,R13,C18,15,18,16,16,16,81
R13-C19,R13,C19,8,10,17,10,9,54
R13-C20,R13,C20,5,7,11,6,6,35
R14-C01,R14,C01,4,5,5,3,4,21
R14-C02,R14,C02,4,5,11,4,5,29
R14-C03,R14,C03,8,10,16,10,9,53
R14-C04,R14,C04,13,16,19,14,15,77
R14-C05,R14,C05,19,23,29,17,17,105
R14-C06,R14,C06,18,29,39,19,23,128
R14-C07,R14,C07,21,24,38,26,27,136
R14-C08,R14,C08,21,24,39,22,20,126
R14-C09,R14,C09,19,21,26,17,18,101
R14-C10,R14,C10,10,16,21,11,14,72
R14-C11,R14,C11,7,11,13,9,8,48
R14-C12,R14,C12,8,8,14,8,8,46
R14-C13,R14,C13,9,9,11,8,9,46
R14-C14,R14,C14,8,11,20,8,9,56
R14-C15,R14,C15,10,14,18,13,12,67
R14-C16,R14,C16,12,16,16,13,14,71
R14-C17,R14,C17,12,12,20,11,10,65
R14-C18,R14,C18,7,10,16,8,9,50
R14-C19,R14,C19,5,7,9,7,7,35
R14-C20,R14,C20,4,5,6,4,4,23
R15-C01,R15,C01,3,5,8,4,4,24
R15-C02,R15,C02,5,7,9,5,6,32
R15-C03,R15,C03,8,10,14,7,7,46
R15-C04,R15,C04,12,15,15,13,12,67
R15-C05,R15,C05,13,17,28,17,18,93
R15-C06,R15,C06,18,22,37,19,18,114
R15-C07,R15,C07,22,27,39,20,23,131
R15-C08,R15,C08,22,26,26,23,24,121
R15-C09,R15,C09,14,22,29,17,16,98
R15-C10,R15,C10,11,13,22,12,13,71
R15-C11,R15,C11,8,9,15,7,9,48
R15-C12,R15,C12,6,7,9,7,6,35
R15-C13,R15,C13,4,6,10,5,5,30
R15-C14,R15,C14,5,8,9,5,6,33
R15-C15,R15,C15,6,6,13,5,6,36
R15-C16,R15,C16,9,9,12,9,8,47
R15-C17,R15,C17,6,9,12,8,8,43
R15-C18,R15,C18,6,8,10,6,6,36
R15-C19,R15,C19,5,6,8,4,5,28
R15-C20,R15,C20,4,4,6,4,4,22
R16-C01,R16,C01,3,4,5,3,3,18
R16-C02,R16,C02,6,8,7,6,6,33
R16-C03,R16,C03,8,8,12,7,8,43
R16-C04,R16,C04,8,12,21,9,10,60
R16-C05,R16,C05,12,16,23,15,14,80
R16-C06,R16,C06,16,21,23,17,19,96
R16-C07,R16,C07,19,23,27,17,16,102
R16-C08,R16,C08,13,17,33,14,17,94
R16-C09,R16,C09,12,15,19,15,15,76
R16-C10,R16,C10,9,11,15,10,9,54
R16-C11,R16,C11,8,10,12,7,8,45
R16-C12,R16,C12,5,8,9,5,6,33
R16-C13,R16,C13,4,5,10,5,4,28
R16-C14,R16,C14,4,5,7,5,5,26
R16-C15,R16,C15,5,5,7,4,5,26
R16-C16,R16,C16,4,6,8,4,4,26
R16-C17,R16,C17,4,5,6,5,4,24
R16-C18,R16,C18,4,4,5,4,4,21
R16-C19,R16,C19,3,3,5,3,3,17
R16-C20,R16,C20,3,5,8,4,4,24
R17-C01,R17,C01,4,4,6,3,4,21
R17-C02,R17,C02,4,5,6,5,4,24
R17-C03,R17,C03,4,6,9,6,6,31
R17-C04,R17,C04,6,9,11,7,8,41
R17-C05,R17,C05,9,12,16,8,9,54
R17-C06,R17,C06,14,13,19,14,13,73
R17-C07,R17,C07,11,15,22,14,15,77
R17-C08,R17,C08,11,14,23,12,11,71
R17-C09,R17,C09,10,13,16,9,11,59
R17-C10,R17,C10,8,10,9,8,9,44
R17-C11,R17,C11,4,6,11,6,5,32
R17-C12,R17,C12,4,4,7,4,4,23
R17-C13,R17,C13,3,4,5,3,4,19
R17-C14,R17,C14,3,4,4,3,3,17
R17-C15,R17,C15,4,6,7,4,4,25
R17-C16,R17,C16,4,4,7,4,5,24
R17-C17,R17,C17,4,4,7,3,4,22
R17-C18,R17,C18,4,4,5,4,4,21
R17-C19,R17,C19,3,4,5,3,4,19
R17-C20,R17,C20,3,4,4,3,3,17
R18-C01,R18,C01,4,5,7,4,4,24
R18-C02,R18,C02,4,5,7,4,5,25
R18-C03,R18,C03,4,6,9,5,4,28
R18-C04,R18,C04,6,6,10,6,6,34
R18-C05,R18,C05,7,8,10,7,8,40
R18-C06,R18,C06,6,9,17,7,7,46
R18-C07,R18,C07,7,10,13,9,8,47
R18-C08,R18,C08,7,10,10,8,9,44
R18-C09,R18,C09,7,6,11,6,6,36
R18-C10,R18,C10,5,7,12,6,7,37
R18-C11,R18,C11,4,6,7,6,6,29
R18-C12,R18,C12,4,5,7,4,4,24
R18-C13,R18,C13,4,5,5,3,4,21
R18-C14,R18,C14,3,3,6,3,4,19
R18-C15,R18,C15,3,3,6,3,3,18
R18-C16,R18,C16,3,3,5,3,3,17
R18-C17,R18,C17,3,3,4,3,3,16
R18-C18,R18,C18,2,3,5,2,2,14
R18-C19,R18,C19,3,4,7,4,4,22
R18-C20,R18,C20,4,4,5,4,4,21
R19-C01,R19,C01,3,4,5,3,3,18
R19-C02,R19,C02,3,3,6,3,3,18
R19-C03,R19,C03,3,4,5,3,4,19
R19-C04,R19,C04,4,4,6,4,3,21
R19-C05,R19,C05,5,7,9,6,6,33
R19-C06,R19,C06,5,8,9,6,7,35
R19-C07,R19,C07,6,6,12,5,6,35
R19-C08,R19,C08,6,6,9,6,6,33
R19-C09,R19,C09,4,6,8,5,6,29
R19-C10,R19,C10,4,5,7,4,4,24
R19-C11,R19,C11,3,5,5,3,4,20
R19-C12,R19,C12,3,3,5,3,3,17
R19-C13,R19,C13,2,3,5,3,2,15
R19-C14,R19,C14,3,4,7,4,4,22
R19-C15,R19,C15,4,5,5,3,4,21
R19-C16,R19,C16,4,5,4,4,3,20
R19-C17,R19,C17,3,3,7,3,3,19
R19-C18,R19,C18,3,3,5,3,4,18
R19-C19,R19,C19,3,3,5,3,3,17
R19-C20,R19,C20,3,3,4,3,3,16
R20-C01,R20,C01,3,4,6,4,4,21
R20-C02,R20,C02,4,4,6,4,3,21
R20-C03,R20,C03,4,5,5,3,4,21
R20-C04,R20,C04,3,5,6,3,4,21
R20-C05,R20,C05,3,4,7,4,3,21
R20-C06,R20,C06,4,4,5,4,4,21
R20-C07,R20,C07,4,4,6,3,4,21
R20-C08,R20,C08,3,4,6,3,3,19
R20-C09,R20,C09,4,6,6,5,5,26
R20-C10,R20,C10,4,4,7,4,5,24
R20-C11,R20,C11,4,4,6,4,4,22
R20-C12,R20,C12,3,4,6,3,4,20
R20-C13,R20,C13,3,4,4,3,4,18
R20-C14,R20,C14,3,4,4,3,3,17
R20-C15,R20,C15,3,3,4,3,3,16
R20-C16,R20,C16,2,3,5,2,3,15
R20-C17,R20,C17,2,3,4,3,2,14
R20-C18,R20,C18,4,5,5,4,4,22
R20-C19,R20,C19,4,5,5,3,4,21
R20-C20,R20,C20,3,4,7,3,3,20
