id,row_group,column_group,direct,referral,organic,total
R07-C04,R07,C04,19,19,10,48
R07-C05,R07,C05,22,8,12,42
R07-C06,R07,C06,25,19,14,58
R07-C07,R07,C07,28,8,16,52
R07-C08,R07,C08,31,19,18,68
R07-C09,R07,C09,9,8,20,37
R07-C10,R07,C10,12,19,22,53
R07-C11,R07,C11,15,8,24,47
R07-C12,R07,C12,18,19,26,63
R07-C13,R07,C13,21,8,28,57
R07-C14,R07,C14,24,19,30,73
R07-C15,R07,C15,27,8,8,43
R07-C16,R07,C16,30,19,10,59
R07-C17,R07,C17,8,8,12,28
R07-C18,R07,C18,11,19,14,44
R07-C19,R07,C19,14,8,16,38
R07-C20,R07,C20,17,19,18,54
R08-C01,R08,C01,17,13,17,47
R08-C02,R08,C02,20,24,19,63
R08-C03,R08,C03,23,13,21,57
R08-C04,R08,C04,26,24,23,73
R08-C05,R08,C05,29,13,25,67
R08-C06,R08,C06,32,24,27,83
R08-C07,R08,C07,10,13,29,52
R08-C08,R08,C08,13,24,7,44
R08-C09,R08,C09,16,13,9,38
R08-C10,R08,C10,19,24,11,54
R08-C11,R08,C11,22,13,13,48
R08-C12,R08,C12,25,24,15,64
R08-C13,R08,C13,28,13,17,58
R08-C14,R08,C14,31,24,19,74
R08-C15,R08,C15,9,13,21,43
R08-C16,R08,C16,12,24,23,59
R08-C17,R08,C17,15,13,25,53
R08-C18,R08,C18,18,24,27,69
R08-C19,R08,C19,21,13,29,63
R08-C20,R08,C20,24,24,7,55
R09-C01,R09,C01,24,18,30,72
R09-C02,R09,C02,27,7,8,42
R09-C03,R09,C03,30,18,10,58
R09-C04,R09,C04,8,7,12,27
R09-C05,R09,C05,11,18,14,43
R09-C06,R09,C06,14,7,16,37
R09-C07,R09,C07,17,18,18,53
R09-C08,R09,C08,20,7,20,47
R09-C09,R09,C09,23,18,22,63
R09-C10,R09,C10,26,7,24,57
R09-C11,R09,C11,29,18,26,73
R09-C12,R09,C12,32,7,28,67
R09-C13,R09,C13,10,18,30,58
R09-C14,R09,C14,13,7,8,28
R09-C15,R09,C15,16,18,10,44
R09-C16,R09,C16,19,7,12,38
R09-C17,R09,C17,22,18,14,54
R09-C18,R09,C18,25,7,16,48
R09-C19,R09,C19,28,18,18,64
R09-C20,R09,C20,31,7,20,58
R10-C01,R10,C01,31,23,19,73
R10-C02,R10,C02,9,12,21,42
R10-C03,R10,C03,12,23,23,58
R10-C04,R10,C04,15,12,25,52
R10-C05,R10,C05,18,23,27,68
R10-C06,R10,C06,21,12,29,62
R10-C07,R10,C07,24,23,7,54
R10-C08,R10,C08,27,12,9,48
R10-C09,R10,C09,30,23,11,64
R10-C10,R10,C10,8,12,13,33
R10-C11,R10,C11,11,23,15,49
R10-C12,R10,C12,14,12,17,43
R10-C13,R10,C13,17,23,19,59
R10-C14,R10,C14,20,12,21,53
R10-C15,R10,C15,23,23,23,69
R10-C16,R10,C16,26,12,25,63
R10-C17,R10,C17,29,23,27,79
R10-C18,R10,C18,32,12,29,73
R10-C19,R10,C19,10,23,7,40
R10-C20,R10,C20,13,12,9,34
R11-C01,R11,C01,13,6,8,27
R11-C02,R11,C02,16,17,10,43
R11-C03,R11,C03,19,6,12,37
R11-C04,R11,C04,22,17,14,53
R11-C05,R11,C05,25,6,16,47
R11-C06,R11,C06,28,17,18,63
R11-C07,R11,C07,31,6,20,57
R11-C08,R11,C08,9,17,22,48
R11-C09,R11,C09,12,6,24,42
R11-C10,R11,C10,15,17,26,58
R11-C11,R11,C11,18,6,28,52
R11-C12,R11,C12,21,17,30,68
R11-C13,R11,C13,24,6,8,38
R11-C14,R11,C14,27,17,10,54
R11-C15,R11,C15,30,6,12,48
R11-C16,R11,C16,8,17,14,39
R11-C17,R11,C17,11,6,16,33
R11-C18,R11,C18,14,17,18,49
R11-C19,R11,C19,17,6,20,43
R11-C20,R11,C20,20,17,22,59
R12-C01,R12,C01,20,11,21,52
R12-C02,R12,C02,23,22,23,68
R12-C03,R12,C03,26,11,25,62
R12-C04,R12,C04,29,22,27,78
R12-C05,R12,C05,32,11,29,72
R12-C06,R12,C06,10,22,7,39
R12-C07,R12,C07,13,11,9,33
R12-C08,R12,C08,16,22,11,49
R12-C09,R12,C09,19,11,13,43
R12-C10,R12,C10,22,22,15,59
R12-C11,R12,C11,25,11,17,53
R12-C12,R12,C12,28,22,19,69
R12-C13,R12,C13,31,11,21,63
R12-C14,R12,C14,9,22,23,54
R12-C15,R12,C15,12,11,25,48
R12-C16,R12,C16,15,22,27,64
R12-C17,R12,C17,18,11,29,58
R12-C18,R12,C18,21,22,7,50
R12-C19,R12,C19,24,11,9,44
R12-C20,R12,C20,27,22,11,60
R13-C01,R13,C01,27,16,10,53
R13-C02,R13,C02,30,27,12,69
R13-C03,R13,C03,8,16,14,38
R13-C04,R13,C04,11,27,16,54
R13-C05,R13,C05,14,16,18,48
R13-C06,R13,C06,17,27,20,64
R13-C07,R13,C07,20,16,22,58
R13-C08,R13,C08,23,27,24,74
R13-C09,R13,C09,26,16,26,68
R13-C10,R13,C10,29,27,28,84
R13-C11,R13,C11,32,16,30,78
R13-C12,R13,C12,10,27,8,45
R13-C13,R13,C13,13,16,10,39
R13-C14,R13,C14,16,27,12,55
R13-C15,R13,C15,19,16,14,49
R13-C16,R13,C16,22,27,16,65
R13-C17,R13,C17,25,16,18,59
R13-C18,R13,C18,28,27,20,75
R13-C19,R13,C19,31,16,22,69
R13-C20,R13,C20,9,27,24,60
R14-C01,R14,C01,9,21,23,53
R14-C02,R14,C02,12,10,25,47
R14-C03,R14,C03,15,21,27,63
R14-C04,R14,C04,18,10,29,57
R14-C05,R14,C05,21,21,7,49
R14-C06,R14,C06,24,10,9,43
R14-C07,R14,C07,27,21,11,59
R14-C08,R14,C08,30,10,13,53
R14-C09,R14,C09,8,21,15,44
R14-C10,R14,C10,11,10,17,38
R14-C11,R14,C11,14,21,19,54
R14-C12,R14,C12,17,10,21,48
R14-C13,R14,C13,20,21,23,64
R14-C14,R14,C14,23,10,25,58
R14-C15,R14,C15,26,21,27,74
R14-C16,R14,C16,29,10,29,68
R14-C17,R14,C17,32,21,7,60
R14-C18,R14,C18,10,10,9,29
R14-C19,R14,C19,13,21,11,45
R14-C20,R14,C20,16,10,13,39
R15-C01,R15,C01,16,26,12,54
R15-C02,R15,C02,19,15,14,48
R15-C03,R15,C03,22,26,16,64
R15-C04,R15,C04,25,15,18,58
R15-C05,R15,C05,28,26,20,74
R15-C06,R15,C06,31,15,22,68
R15-C07,R15,C07,9,26,24,59
R15-C08,R15,C08,12,15,26,53
R15-C09,R15,C09,15,26,28,69
R15-C10,R15,C10,18,15,30,63
R15-C11,R15,C11,21,26,8,55
R15-C12,R15,C12,24,15,10,49
R15-C13,R15,C13,27,26,12,65
R15-C14,R15,C14,30,15,14,59
R15-C15,R15,C15,8,26,16,50
R15-C16,R15,C16,11,15,18,44
R15-C17,R15,C17,14,26,20,60
R15-C18,R15,C18,17,15,22,54
R15-C19,R15,C19,20,26,24,70
R15-C20,R15,C20,23,15,26,64
R16-C01,R16,C01,23,9,25,57
R16-C02,R16,C02,26,20,27,73
R16-C03,R16,C03,29,9,29,67
R16-C04,R16,C04,32,20,7,59
R16-C05,R16,C05,10,9,9,28
R16-C06,R16,C06,13,20,11,44
R16-C07,R16,C07,16,9,13,38
R16-C08,R16,C08,19,20,15,54
R16-C09,R16,C09,22,9,17,48
R16-C10,R16,C10,25,20,19,64
R16-C11,R16,C11,28,9,21,58
R16-C12,R16,C12,31,20,23,74
R16-C13,R16,C13,9,9,25,43
R16-C14,R16,C14,12,20,27,59
R16-C15,R16,C15,15,9,29,53
R16-C16,R16,C16,18,20,7,45
R16-C17,R16,C17,21,9,9,39
R16-C18,R16,C18,24,20,11,55
R16-C19,R16,C19,27,9,13,49
R16-C20,R16,C20,30,20,15,65
R17-C01,R17,C01,30,14,14,58
R17-C02,R17,C02,8,25,16,49
R17-C03,R17,C03,11,14,18,43
R17-C04,R17,C04,14,25,20,59
R17-C05,R17,C05,17,14,22,53
R17-C06,R17,C06,20,25,24,69
R17-C07,R17,C07,23,14,26,63
R17-C08,R17,C08,26,25,28,79
R17-C09,R17,C09,29,14,30,73
R17-C10,R17,C10,32,25,8,65
R17-C11,R17,C11,10,14,10,34
R17-C12,R17,C12,13,25,12,50
R17-C13,R17,C13,16,14,14,44
R17-C14,R17,C14,19,25,16,60
R17-C15,R17,C15,22,14,18,54
R17-C16,R17,C16,25,25,20,70
R17-C17,R17,C17,28,14,22,64
R17-C18,R17,C18,31,25,24,80
R17-C19,R17,C19,9,14,26,49
R17-C20,R17,C20,12,25,28,65
R18-C01,R18,C01,12,19,27,58
R18-C02,R18,C02,15,8,29,52
R18-C03,R18,C03,18,19,7,44
R18-C04,R18,C04,21,8,9,38
R18-C05,R18,C05,24,19,11,54
R18-C06,R18,C06,27,8,13,48
R18-C07,R18,C07,30,19,15,64
R18-C08,R18,C08,8,8,17,33
R18-C09,R18,C09,11,19,19,49
R18-C10,R18,C10,14,8,21,43
R18-C11,R18,C11,17,19,23,59
R18-C12,R18,C12,20,8,25,53
R18-C13,R18,C13,23,19,27,69
R18-C14,R18,C14,26,8,29,63
R18-C15,R18,C15,29,19,7,55
R18-C16,R18,C16,32,8,9,49
R18-C17,R18,C17,10,19,11,40
R18-C18,R18,C18,13,8,13,34
R18-C19,R18,C19,16,19,15,50
R18-C20,R18,C20,19,8,17,44
R19-C01,R19,C01,19,24,16,59
R19-C02,R19,C02,22,13,18,53
R19-C03,R19,C03,25,24,20,69
R19-C04,R19,C04,28,13,22,63
R19-C05,R19,C05,31,24,24,79
R19-C06,R19,C06,9,13,26,48
R19-C07,R19,C07,12,24,28,64
R19-C08,R19,C08,15,13,30,58
R19-C09,R19,C09,18,24,8,50
R19-C10,R19,C10,21,13,10,44
R19-C11,R19,C11,24,24,12,60
R19-C12,R19,C12,27,13,14,54
R19-C13,R19,C13,30,24,16,70
R19-C14,R19,C14,8,13,18,39
R19-C15,R19,C15,11,24,20,55
R19-C16,R19,C16,14,13,22,49
R19-C17,R19,C17,17,24,24,65
R19-C18,R19,C18,20,13,26,59
R19-C19,R19,C19,23,24,28,75
R19-C20,R19,C20,26,13,30,69
R20-C01,R20,C01,26,7,29,62
R20-C02,R20,C02,29,18,7,54
R20-C03,R20,C03,32,7,9,48
R20-C04,R20,C04,10,18,11,39
R20-C05,R20,C05,13,7,13,33
R20-C06,R20,C06,16,18,15,49
R20-C07,R20,C07,19,7,17,43
R20-C08,R20,C08,22,18,19,59
R20-C09,R20,C09,25,7,21,53
R20-C10,R20,C10,28,18,23,69
R20-C11,R20,C11,31,7,25,63
R20-C12,R20,C12,9,18,27,54
R20-C13,R20,C13,12,7,29,48
R20-C14,R20,C14,15,18,7,40
R20-C15,R20,C15,18,7,9,34
R20-C16,R20,C16,21,18,11,50
R20-C17,R20,C17,24,7,13,44
R20-C18,R20,C18,27,18,15,60
R20-C19,R20,C19,30,7,17,54
R20-C20,R20,C20,8,18,19,45
